tconst	averageRating	numVotes
tt9859344	9.0	16
tt9859512	5.8	13
tt9861294	8.2	8
tt9861408	8.5	6
tt9861502	7.7	25
tt9861506	7.6	21
tt9861508	7.7	9
tt9861510	8.0	10
tt9861512	7.3	7
tt9861514	8.0	6
tt9861518	7.0	5
tt9861536	8.6	14
tt9863486	6.4	14
tt9863566	5.1	11
tt9863806	9.0	9
tt9863912	7.6	27
tt9863946	6.3	6
tt9866700	3.6	47
tt9868728	9.7	7
tt9869024	8.2	6
tt9869264	8.2	110
tt9870402	5.1	45
tt9870612	9.0	7
tt9871930	4.9	20
tt9876822	7.3	25
tt9877176	7.3	6
tt9878420	9.2	5
tt9880392	8.5	10
tt9882292	9.6	27
tt9883888	8.0	7